t p i e
542.162598 1 1102 3
542.359680 1 1103 3
542.836792 1 1104 2
543.286072 1 1105 2
543.878357 1 1106 2
545.020874 1 1107 4
546.006958 1 1108 4
546.623718 1 1109 4
546.859253 1 1110 4
547.480347 1 1111 4
547.696106 1 1112 4
548.234985 1 1113 3
548.689636 1 1114 2
548.980957 1 1115 4
549.171631 1 1116 3
549.414734 1 1117 4
549.583984 1 1118 4
549.754272 1 1119 3
550.101868 1 1120 3
550.329529 1 1121 2
550.982910 1 1122 3
551.217407 1 1123 4
551.318481 1 1124 4
551.429077 1 1125 3
551.637268 1 1126 4
551.742737 1 1127 3
552.044495 1 1128 3
552.595276 1 1129 2
553.165894 1 1130 3
553.930725 1 1131 3
554.673523 1 1132 3
555.833435 1 1133 3
556.092102 1 1134 3
556.361267 1 1135 4
556.511658 1 1136 4
556.757507 1 1137 3
557.131104 1 1138 3
557.375122 1 1139 3
558.329956 1 1140 3
558.829956 1 1141 3
559.257690 1 1142 4
559.541077 1 1143 3
559.642578 1 1144 3
559.761292 1 1145 3
559.855896 1 1146 2
560.186951 1 1147 2
560.330200 1 1148 2
560.682495 1 1149 2
560.955994 1 1150 3
561.258057 1 1151 3
561.374695 1 1152 3
561.497864 1 1153 3
561.666382 1 1154 3
561.810852 1 1155 2
561.916626 1 1156 2
562.078003 1 1157 3
562.208557 1 1158 2
562.343506 1 1159 2
562.412842 1 1160 2
562.513733 1 1161 2
562.627869 1 1162 2
564.394836 1 1163 3
564.948303 1 1164 2
565.786865 1 1165 2
566.772217 1 1166 2
567.521851 1 1167 4
567.849060 1 1168 4
568.091797 1 1169 4
568.350769 1 1170 4
568.616577 1 1171 3
568.672852 1 1172 2
568.762207 1 1173 2
568.911926 1 1174 2
569.167419 1 1175 2
569.475830 1 1176 3
569.539917 1 1177 2
569.662964 1 1178 2
569.846497 1 1179 2
569.995483 1 1180 2
570.100403 1 1181 2
570.154419 1 1182 2
570.279663 1 1183 2
572.662415 1 1184 2
573.119141 1 1185 2
573.801086 1 1186 2
574.328857 1 1187 2
574.441956 1 1188 3
574.499939 1 1189 2
574.619263 1 1190 2
574.714111 1 1191 2
574.831116 1 1192 2
574.953125 1 1193 2
575.059998 1 1194 2
575.139038 1 1195 3
575.231201 1 1196 2
575.396179 1 1197 2
575.506897 1 1198 2
575.679260 1 1199 2
575.811401 1 1200 2
575.887329 1 1201 2
575.975464 1 1202 2
576.107178 1 1203 3
576.195374 1 1204 2
576.310852 1 1205 2
576.460571 1 1206 3
576.759644 1 1207 2
577.032654 1 1208 2
577.450623 1 1209 2
578.191650 1 1210 2
578.579590 1 1211 2
579.065491 1 1212 2
579.400085 1 1213 2
579.871155 1 1214 2
580.565796 1 1215 2
581.634155 1 1216 2
583.681641 1 1217 2
584.097656 1 1218 2
584.777954 1 1219 2
585.310181 1 1220 2
585.885681 1 1221 2
586.389282 1 1222 2
586.535461 1 1223 2
586.625000 1 1224 2
586.945618 1 1225 3
587.075623 1 1226 2
587.348633 1 1227 2
587.603577 1 1228 2
587.906494 1 1229 2
588.127502 1 1230 2
590.539856 1 1231 2
593.460510 1 1232 2
594.979736 1 1233 2
596.657837 1 1234 3
597.821106 1 1235 4
598.584839 1 1236 4
599.150879 1 1237 4
599.531250 1 1238 4
599.914429 1 1239 4
600.691101 1 1240 4
600.794617 1 1241 3
601.144043 1 1242 3
601.295471 1 1243 3
601.571289 1 1244 3
601.854736 1 1245 3
602.124817 1 1246 3
603.227783 1 1247 2
